species	soil_preference
afminimifolia	non-ultramafic
calciphila	non-ultramafic
cfpustulata	non-ultramafic
cherrieri	non-ultramafic
ctparviflora	non-ultramafic
erudita	ultramafic
flavocarpa	non-ultramafic
hequetiae	ultramafic
impolita	non-ultramafic
labillardierei	non-ultramafic
minimifolia	non-ultramafic
pancheri	non-ultramafic
parviflora	non-ultramafic
perplexa	non-ultramafic
pustulata	non-ultramafic
revolutissima	ultramafic
rufotomentosa	ultramafic
spPicNga	ultramafic
tridentata	non-ultramafic
trisulca	non-ultramafic
umbrosa	ultramafic
veillonii	non-ultramafic
vieillardii	ultramafic
yahouensis	non-ultramafic
glansU	ultramafic
glansN	non-ultramafic
