leaf_sample	species	assoc_soil_sample	soil_type	C_leaf	N_leaf	Ca_leaf	Mg_leaf	Na_leaf	K_leaf	P_leaf	Cr_leaf	Fe_leaf	Mn_leaf	Ni_leaf	Al_leaf	Cu_leaf	Zn_leaf	S_leaf	Pb_leaf	Co_leaf	Cd_leaf	Mo_leaf	assoc_leaf_sample	H2O_pH_soil	Kcl_pH_soil	C_soil	N_soil	Ca_soil	Mg_soil	Na_soil	K_soil	P_soil	Cr_soil	Fe_soil	Mn_soil	Ni_soil	Al_soil	Cu_soil	Zn_soil	S_soil	Pb_soil	Co_soil	Cd_soil	Mo_soil
afmin1021a	afmin	afmin1021a	sed	410.3	12.41	29.29	2.91	1.32	12.72	579	2	87.79	20.62	6.77	38.29	4.75	11.33	2344	0.9	150	0.1	0.9	1021a	6.52	5.88	55.31	4.42	4924	3515	5183	11789	244	66.4	25473	188	105	54587	17.4	77.2	505	20	23	1	4
afmin1023m	afmin	afmin1022	sed	399.2	14.24	41.52	2.71	2.12	13.24	736	689	128.82	26.05	7.27	62.52	6.77	18.77	2587	0.9	195	0.1	0.9	1023m	6.56	5.98	49.7	3.9	5911	3838	5562	8579	233	69.3	28377	240	106	49998	28.4	76	518	20	20.7	1	4
cal1001	cal	cal1001	sed	386.6	11.67	47.45	2.63	4.39	15.55	660	511	31.39	39.48	0.35	8.08	1.33	2.45	2233	0.9	0.14	0.1	0.9	1001	7.57	7.21	354.23	25.7	71934	4699	742	570	2103	157	5734	706	19.8	4249	11.5	10.3	2435	20	3.44	1.2	4
cal1002	cal	cal1003	sed	418	11.14	32.68	1.96	3.74	7.6	483	154	21.97	19.12	0.27	3.4	2.19	3.26	2496	0.9	0.14	0.1	0.9	1003	7.63	7.3	363.98	26.8	63523	4204	552	439	2132	129	5148	372	13.8	3977	10.7	10	2454	20	3.44	1	4
cal1003	cal	cal1003	sed	415	12.54	20.47	2.73	1.77	11.37	774	161	18.7	18.89	0.35	4.38	1.19	5.33	2260	0.9	0.14	0.1	0.9	1003	7.63	7.3	363.98	26.8	63523	4204	552	439	2132	129	5148	372	13.8	3977	10.7	10	2454	20	3.44	1	4
cal1004	cal	cal1005	sed	398.2	13.94	33.74	3.52	1.44	11.26	689	102	26.58	34.89	0.36	4.35	1.23	3.79	2719	0.9	0.14	0.1	0.9	1005	7.78	7.4	203.91	14.9	140436	21532	831	529	4286	1366	38304	1401	932	15646	7.25	36.6	1562	20	56.2	1	4
cal1005	cal	cal1005	sed	398	11.98	27.64	2.85	3.18	20.05	793	148	21.54	27.13	1.86	3.99	1.63	4.06	1969	0.9	0.14	0.1	0.9	1005	7.78	7.4	203.91	14.9	140436	21532	831	529	4286	1366	38304	1401	932	15646	7.25	36.6	1562	20	56.2	1	4
cal1006	cal	cal1006	sed	417.7	10.99	29.42	2.79	0.82	11.03	672	195	24.82	13.86	2.86	4.28	2.92	5.55	2191	0.9	0.14	0.1	0.9	1006	7.49	6.95	177.44	14.23	66506	21338	865	763	2433	2376	84861	649	2278	10508	15	70.2	1940	64	117	3.53	4
cal1008	cal	cal1007	sed	409.2	10.83	32.36	2.82	1.28	11.99	641	293	26.54	20.98	0.33	5.08	1.48	3.72	1555	0.9	0.14	0.1	0.9	1008	7.07	6.66	370.21	28.92	49696	3977	505	581	2220	168	7108	575	14.7	5692	6.48	10	2373	20	3.44	1.72	4
cfpus1128	cfpus	cfpus1128	sed	432.2	14.69	17.66	1.88	3.37	9.61	902	838	71.81	22.06	7.34	73.58	6.25	9.31	2696	0.9	0.14	0.1	0.3	1128	7.01	6.05	67.01	4.4	16827	8007	4578	934	352	202	70905	4652	103	62573	87.3	48.8	676	14.3	209	3	5
cfpus1134	cfpus	cfpus1134	sed	433.5	11.19	22.54	2.4	2.37	8.56	690	0.55	43	41.83	6.11	5	6.02	9.09	2224	0.9	0.43	0.1	1	1134	6.99	5.88	45.74	3.65	12909	8147	2924	800	329	252	83194	7921	131	62126	88.8	58.8	483	5	361	3	5
cfpus1136	cfpus	cfpus1136	sed	430.9	11.12	31.93	2.04	3.65	5.98	450	845	56.62	268.1	12.08	5	5.43	5.31	1796	0.9	0.43	0.1	1	1136	6.29	5.22	51.48	3.5	10194	7685	2100	508	217	207	78077	12462	206	64757	104	50.9	513	5	327	3	5
cfpus1137	cfpus	cfpus1136	sed	423.2	10.02	33.19	2.85	2.08	8.04	552	0.55	49.63	170.22	13.21	5	5.02	6.11	2886	0.9	0.43	0.1	1	1136	6.29	5.22	51.48	3.5	10194	7685	2100	508	217	207	78077	12462	206	64757	104	50.9	513	5	327	3	5
cfpus1138	cfpus	cfpus1139	sed	434.2	12.14	20.49	2.47	1.06	10.79	567	0.55	32.29	204.94	12.82	5	3.18	4.61	1634	0.9	0.43	0.1	1	1139	7.06	6.18	75.23	5.16	14755	7483	1813	832	358	200	73576	12744	226	60020	101	70.5	621	20.1	289	3	5
cfpus1139	cfpus	cfpus1139	sed	439.8	10.79	25.64	1.4	1.94	7.86	510	732	48.5	147.02	7.42	5	3.8	4.36	2254	0.9	0.43	0.1	1	1139	7.06	6.18	75.23	5.16	14755	7483	1813	832	358	200	73576	12744	226	60020	101	70.5	621	20.1	289	3	5
cfpus1140	cfpus	cfpus1140	sed	429.4	10.15	32.15	2.75	3.23	3.12	495	1	34.94	427.33	20.89	5	5.32	6.91	2357	0.9	363	0.1	4	1140	6.61	5.49	59.8	3.23	12151	6723	3181	517	246	202	76597	14383	179	58311	97.7	57.3	525	5	380	3	5
