Geneid	Chr	Start	End	Strand	Length	cal_9a	cal_9b	cal_9c1	cal_9c2	cal_9d1	cal_9d2	spn_18a	spn_18b	spn_18c	spn_19ar	spn_19br	spn_19c	imp_3ba1	imp_3ba2	imp_3bb	imp_3bc	imp_3bd1	imp_3bd2r	heq_13a	heq_13bbr	heq_13c	heq_13d	heq_14a	heq_14b	heq_14ccr	lab_11a1	lab_11a2	lab_12a	lab_12b	lab_12c1	lab_12c2	rev_24a1r	rev_24a2	rev_24b1	rev_24b2	rev_25a1	rev_25a2	rev_25aaq3r
g1	ptg000001l	2305	4482	+	2178	27	78	37	59	4	17	212	113	199	182	378	586	17	51	92	106	315	170	254	603	166	94	270	99	171	0	0	95	89	138	89	30	222	93	75	17	86	99
g2	ptg000001l	50228	52366	+	2139	165	313	188	235	111	116	16	59	1	226	165	293	81	222	140	435	441	515	142	374	121	373	583	520	639	1	0	1	4	1	3	368	1435	596	284	432	375	355
g3	ptg000001l	96828	98729	+	1902	0	6	0	3	0	5	21	47	58	64	127	239	7	31	20	46	41	51	77	246	7	14	75	84	14	0	0	32	2	45	14	6	18	0	2	8	8	16
g4	ptg000001l	204726	205694	+	969	8	73	41	57	2	18	2	18	2	81	49	38	4	55	86	133	77	134	39	42	48	133	130	135	229	0	0	1	0	0	10	92	402	134	67	69	58	65
g5	ptg000001l	206433	206864	+	432	0	0	4	3	0	0	0	0	0	0	1	0	1	0	0	1	4	1	0	1	1	0	15	3	0	0	0	0	0	0	0	2	22	5	0	0	5	0
g6	ptg000001l	246960	249110	+	2151	0	19	193	247	6	9	316	378	360	15	17	16	68	171	89	143	294	229	1164	84	513	22	1095	59	19	2	2	26	15	3	5	172	641	236	216	290	324	277
g7	ptg000001l	278362	280509	+	2148	0	11	4	9	7	0	13	2	12	1	18	12	2	0	10	8	5	3	100	14	23	1	74	0	9	0	0	0	14	37	36	11	2	12	3	27	15	10
g8	ptg000001l	342386	344347	+	1962	75	253	120	197	126	130	109	68	154	162	144	318	61	193	86	191	212	371	253	379	65	263	497	371	642	1	0	136	110	249	180	165	685	324	187	379	360	263
g9	ptg000001l	359207	361354	+	2148	4	19	10	1	5	3	39	17	19	13	31	20	5	14	0	13	3	8	30	25	5	15	49	2	0	0	0	18	12	11	7	0	11	17	6	21	107	23
g10	ptg000001l;ptg000001l	362790;363844	362816;364386	+;+	570	19	49	38	47	14	48	44	62	14	43	9	58	5	24	20	3	13	33	51	63	41	46	110	61	123	19	8	18	1	4	22	4	27	3	2	16	8	65
g11	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	366609;367238;368348;369261;372015;380359;380536	367091;367465;369115;369731;372148;380430;380800	-;-;-;-;-;-;-	2421	377	1792	964	1461	862	1210	1183	1086	851	2100	1574	1620	492	893	553	520	574	1322	742	2112	950	858	1589	880	2583	848	397	703	817	1924	1147	1692	3776	2011	1068	680	404	1473
g12	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	398386;398990;399626;400045;400297;402222;402506;403202	398485;399108;399811;400134;400545;402374;402824;403416	-;-;-;-;-;-;-;-	1431	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	7	0	0	0	0	0	0	0
g13	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	419850;420348;421503;421719;422206;422521	419980;421307;421631;421963;422357;422637	-;-;-;-;-;-	1734	0	0	0	0	4	0	2	0	10	58	83	0	6	2	2	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	5	0	18	44	0	0	0
g14	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	446702;450193;451866;452131;453871;454165;455724;457871;458142	447346;451769;452007;452238;454083;454275;455918;458045;458188	+;+;+;+;+;+;+;+;+	3213	831	2684	1494	1962	1408	1771	1523	1213	1803	2752	1927	3002	961	2252	1428	1909	2111	3711	2234	3963	2877	1829	4175	1777	5345	895	496	1187	913	2016	1748	3320	7769	3000	1649	2708	2033	2556
g15	ptg000001l	463615	463767	+	153	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	31	0	28	166	0	0	0	0	3	0	5	16	2	9	2	2	22
g16	ptg000001l;ptg000001l;ptg000001l;ptg000001l	483729;483923;484412;485795	483822;484171;485659;485838	+;+;+;+	1635	1	2	1	1	1	4	0	5	1	2	1	0	40	52	33	43	99	122	4	40	200	1724	0	571	5322	1	0	2	0	17	1	310	430	74	59	273	163	349
g17	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	489178;489526;489818;490283;490416;492011;494508;497574;497732;497979;498214	489300;489696;490054;490340;490474;492130;494654;497637;497895;498062;498237	+;+;+;+;+;+;+;+;+;+;+	1251	283	770	522	693	488	454	408	317	348	847	577	746	378	512	233	338	513	831	464	1124	771	380	967	568	811	198	101	160	287	498	347	567	1697	714	369	767	344	821
g18	ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l;ptg000001l	500101;500284;500446;500702;510024;526937;528114;528249;528493;528904;529297	500124;500367;500606;500765;510170;527056;528172;528306;528777;529074;529419	-;-;-;-;-;-;-;-;-;-;-	1296	2	5	5	2	2	8	7	4	4	4	3	11	0	3	0	2	3	4	4	11	11	2	4	4	28	11	10	3	6	20	13	1	12	11	2	5	2	11
