	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	g1	scarecrow-like protein 33 isoform X1	2178	14	0.0	86.56						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g2	scarecrow-like protein 33 isoform X1	2139	14	0.0	86.99						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g3	scarecrow-like protein 33 isoform X1	1902	13	0.0	84.67						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g4	scarecrow-like protein 33 isoform X1	969	12	6.59E-188	86.98						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	g5	scarecrow-like protein 14 isoform X9	432	11	8.8E-73	90.02						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g6	scarecrow-like protein 33 isoform X1	2151	14	0.0	87.49						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g7	scarecrow-like protein 33 isoform X1	2148	14	0.0	87.43						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g8	scarecrow-like protein 33 isoform X1	1962	14	0.0	86.3						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g9	scarecrow-like protein 33 isoform X1	2148	14	0.0	87.64						IPR005202 (PFAM); IPR005202 (PANTHER); IPR005202 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g10	scarecrow-like protein 34	570	1	8.06E-20	58.73						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	g11	ATP-dependent zinc metalloprotease FTSH 10, mitochondrial-like	2421	1	0.0	99.63	8	P:GO:0034982; F:GO:0004176; F:GO:0004222; F:GO:0005524; F:GO:0008270; F:GO:0016887; C:GO:0005745; C:GO:0009535	P:mitochondrial protein processing; F:ATP-dependent peptidase activity; F:metalloendopeptidase activity; F:ATP binding; F:zinc ion binding; F:ATP hydrolysis activity; C:m-AAA complex; C:chloroplast thylakoid membrane			G3DSA:1.10.8.60:FF:000019 (FUNFAM); G3DSA:3.40.50.300:FF:000001 (FUNFAM); G3DSA:1.20.58.760:FF:000005 (FUNFAM); IPR041569 (PFAM); G3DSA:1.10.8.60 (GENE3D); G3DSA:3.40.1690.20 (GENE3D); IPR003959 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR000642 (PFAM); IPR037219 (G3DSA:1.20.58.GENE3D); IPR011546 (PFAM); IPR005936 (NCBIFAM); PIRSR001174-2 (PIRSR); IPR050928 (PANTHER); IPR003960 (PROSITE_PATTERNS); IPR005936 (HAMAP); cd19501 (CDD); IPR037219 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0006508; P:GO:0034982; F:GO:0004176; F:GO:0004222; F:GO:0005524; F:GO:0008270; F:GO:0016887; C:GO:0005745; C:GO:0009535; C:GO:0016020	P:proteolysis; P:mitochondrial protein processing; F:ATP-dependent peptidase activity; F:metalloendopeptidase activity; F:ATP binding; F:zinc ion binding; F:ATP hydrolysis activity; C:m-AAA complex; C:chloroplast thylakoid membrane; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g12	abscisic acid 8'-hydroxylase 2-like	1431	1	0.0	96.85	5	P:GO:0016125; F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	P:sterol metabolic process; F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR002401 (PRINTS); IPR001128 (PRINTS); G3DSA:1.10.630.10:FF:000014 (FUNFAM); IPR036396 (G3DSA:1.10.630.GENE3D); IPR001128 (PFAM); PIRSR000047-2 (PIRSR); PIRSR602402-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR602403-1 (PIRSR); PIRSR000209-1 (PIRSR); PIRSR000047-1 (PIRSR); PTHR24286 (PANTHER); IPR017972 (PROSITE_PATTERNS); IPR036396 (SUPERFAMILY)	P:GO:0016125; F:GO:0004497; F:GO:0005506; F:GO:0016491; F:GO:0016705; F:GO:0020037	P:sterol metabolic process; F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	g13	laccase-2-like	1734	1	0.0	96.88	4	P:GO:0046274; F:GO:0005507; F:GO:0052716; C:GO:0048046	P:lignin catabolic process; F:copper ion binding; F:hydroquinone:oxygen oxidoreductase activity; C:apoplast			G3DSA:2.60.40.420:FF:000049 (FUNFAM); G3DSA:2.60.40.420:FF:000062 (FUNFAM); IPR011707 (PFAM); IPR008972 (G3DSA:2.60.40.GENE3D); IPR001117 (PFAM); IPR017761 (NCBIFAM); IPR008972 (G3DSA:2.60.40.GENE3D); IPR008972 (G3DSA:2.60.40.GENE3D); IPR011706 (PFAM); PIRSR601287-1 (PIRSR); IPR045087 (PANTHER); IPR002355 (PROSITE_PATTERNS); IPR033138 (PROSITE_PATTERNS); IPR034288 (CDD); IPR034289 (CDD); IPR034285 (CDD); IPR008972 (SUPERFAMILY); IPR008972 (SUPERFAMILY); IPR008972 (SUPERFAMILY)	P:GO:0046274; F:GO:0005507; F:GO:0016491; F:GO:0052716; C:GO:0048046	P:lignin catabolic process; F:copper ion binding; F:oxidoreductase activity; F:hydroquinone:oxygen oxidoreductase activity; C:apoplast
